一级分类,二级分类,商品URL,商品名称,商店名称
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535807.aspx,创维酷开 75寸电视 75K3 Pro全通道 120Hz 3+64G 大内存液晶电视机,天猫旗舰店
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8536110.aspx,TCL电视 85V8E 85英寸 120Hz 高色域 3+64GB 2.1声道音响 4K高清巨幕 客厅液晶智能平板游戏电视机,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8536030.aspx,京东百亿补贴：Xiaomi 小米 S75 L75M9-S 液晶电视 75英寸 3840x2160（4K）,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8536003.aspx,三星（SAMSUNG）新品LS03C系列Frame画壁艺术超薄电视 QLED量子点  55英寸 QA55LS03CAJXXZ,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535250.aspx,PLUS会员：TCL 55V8H Pro 液晶智能平板电视 55英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535974.aspx,FFALCON 雷鸟 鹤6 Pro 24款 MiniLED电视 75英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535953.aspx,plus会员：海信 电视85E3G-J 85英寸 130%高色域 4K 120Hz超薄全面智慧屏 以旧换新,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535840.aspx,TCL电视 75Q9K 75英寸 Mini LED 1248分区 XDR 2400nits QLED量子点 超薄 4K大屏 液晶智能平板电视,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535572.aspx,FFALCON 雷鸟 鹤6 Pro 24款 MiniLED电视 85英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535539.aspx,FFALCON 雷鸟 鹤6 Pro 24款 MiniLED电视 55英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535492.aspx,预售：FFALCON 雷鸟 100S585C MAX 24款 巨幕电视 100英寸 全通道4K144Hz,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535454.aspx,TCL 85T8H QLED量子点 液晶电视 85英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8535399.aspx,FFALCON 雷鸟 鹤6 Pro 24款 65S585C Pro MiniLED液晶电视 65英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8534364.aspx,拼多多百亿补贴：海信 43英寸悬浮全面屏 平板电视机,其他
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8534841.aspx,华为（HUAWEI）智慧屏VisionSE3系列新品旗舰机Pura 70超级投屏搭档AI摄像头120Hz全面屏智能护眼电视机 55英寸 Vision SE3 【畅联通话】,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8534838.aspx,小米（MI）小米电视90英寸Redmi MAX90 旗舰大屏144Hz游戏高刷32G大内存智能家居互联网络液晶平板教育电视机 90英寸 144HZ高刷+32G,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8534705.aspx,PLUS会员：coocaa 酷开 K3 Pro系列 55P3D Max 液晶电视 55英寸 4K 1791.8元,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8532060.aspx,华为智慧屏V75 Pro 75英寸超薄全面屏4K超高清视频通话智能电视机,其他
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8532047.aspx,海信电视75E7K ULED X Mini LED 504分区 144Hz刷新 4K全面屏 液晶智能平板电视机 75英寸,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8531913.aspx,雷鸟85英寸高亮度高刷新64G大存储AI远场语音无广告2秒开机电视,其他
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8531825.aspx,再降价，plus会员，百亿补贴：TCL雷鸟 雀4 55英寸 4K超高清 平板电视机55F270C,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8531303.aspx,PLUS会员：创维电视75A5D Pro 75英寸回音壁mini led电视机 智慧屏液晶4K超薄家电 平板巨幕大屏智能彩电游戏电视,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530886.aspx,百亿补贴：小米电视 ES55 55英寸 4K多分区背光电视机L55M7-ES,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530657.aspx,TCL 雷鸟 43英寸雀5SE 4K解码 全高清 超薄全面屏 智慧屏 教育电视 游戏智能液晶平板电视机 43英寸 43F175C 开机无广告,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530310.aspx,PLUS会员：Vidda 海信 Z85 85英寸游戏电视 4+64G 512分区 MiniLED 85V7K,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530395.aspx,TCL电视 65Q10H 65英寸 Mini LED 1080分区 3000nits A++蝶翼星曜屏 平板电视机 65英寸 Q10H旗舰电,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530365.aspx,预售：TCL 75T7K Mini LED 液晶电视 75英寸 4K,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530278.aspx,小米电视 100英寸巨幕 144HZ高刷 澎湃OS 青山护眼 4+64GB 会议电视 Redmi MAX 100 L100RA-MAX,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530250.aspx,plus会员:TCL 液晶电视 55V8G Max 55寸 4K 官方标配,京东商城
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530232.aspx,plus会员:华为Vision智慧屏 3 75英寸 4K超级投屏 Pura 超高清电视HD75QINA,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530189.aspx,再降价、PLUS会员：Vidda NEW X系列 85V1K-S 液晶电视 85英寸 4K,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8530021.aspx,再降价、预售：TCL 65T7K Mini LED 液晶电视 65英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8529811.aspx,预售：Vidda X100 Ultra Mini LED 液晶电视 100英寸,京东自营
大家电、生活电器,电视,http://cu.manmanbuy.com/discuxiao_8529681.aspx,预售：TCL 98T7K Mini LED 液晶电视 98英寸 4K,京东自营
