一级分类,一级分类URL,二级分类,二级分类URL
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,电视,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=4
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,空调,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=5
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,冰箱,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=6
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,洗衣机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=7
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,热水器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=8
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,取暖器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=26
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,空调扇,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,电风扇,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=2
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,饮水机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=3
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,挂烫机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=24
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,电熨斗,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=25
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,吸尘器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=19
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,扫地机器人,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1712
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,加湿器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=23
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,净水设备,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=17
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,空气净化器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=18
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,干衣机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=51
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,除湿机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1711
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,蒸汽拖把,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=73
大家电、生活电器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=1,浴霸/排气扇,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=78
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,笔记本电脑,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=86
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,超极本电脑,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=869
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,平板电脑,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=94
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,CPU,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=106
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,显示器,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=98
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,耳机/耳麦,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=101
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,内存条,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=97
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,主板,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=107
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,显卡,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=108
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,硬盘,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=109
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,电源,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=111
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,鼠标,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=96
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,键盘,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=103
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,U盘,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=911
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,移动硬盘,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=104
电脑、配件,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=2,摄像头,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=912
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,手机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=57
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,对讲机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=887
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,电话机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=49
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,蓝牙耳机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=100
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,存储卡,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=897
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,移动电源,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=900
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,智能手表,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1746
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,无人机,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1752
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,智能音箱,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1769
手机数码,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?rootid=3,平衡车,https://zhekou.manmanbuy.com/DefaultSharelist.aspx?smallid=1745
